Scan REF	AF14.CEL	AF14.CEL	AF15.CEL	AF15.CEL	AF16.CEL	AF16.CEL	AF6.CEL	AF6.CEL	AF7.CEL	AF7.CEL	AF8.CEL	AF8.CEL
Composite Element REF	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call
Affymetrix:CompositeSequence:HG-U133A_2:36545_s_at	3.324869139	P	3.139523266	P	3.43786469	P	3.621324437	P	3.018616337	P	3.265056453	P
Affymetrix:CompositeSequence:HG-U133A_2:36552_at	5.935572641	P	6.178526122	P	6.144870193	P	6.281189696	P	6.096607356	P	6.05148756	P
Affymetrix:CompositeSequence:HG-U133A_2:36553_at	9.499302498	P	8.72860129	P	9.234901759	P	9.339060846	P	8.540436014	P	8.998001777	P
Affymetrix:CompositeSequence:HG-U133A_2:36554_at	7.658220381	P	6.864162779	P	7.399263116	P	7.4819654	P	6.585760149	P	7.020775533	P
Affymetrix:CompositeSequence:HG-U133A_2:36564_at	2.750513349	A	2.782190821	A	2.706653625	A	2.728856633	A	2.750337363	A	2.719312066	A
Affymetrix:CompositeSequence:HG-U133A_2:36566_at	4.560608513	P	4.562010158	P	4.545440596	P	4.520716642	P	4.495513133	P	4.549990653	P
Affymetrix:CompositeSequence:HG-U133A_2:36612_at	6.165469735	P	5.929771082	P	5.789618403	P	5.771409144	P	5.866779467	P	5.796982332	P
Affymetrix:CompositeSequence:HG-U133A_2:36711_at	9.687323239	P	9.86690268	P	9.422880842	P	9.295947614	P	9.620722838	P	9.697369424	P
Affymetrix:CompositeSequence:HG-U133A_2:36742_at	7.826970822	P	7.69887039	P	7.643578819	P	7.707968642	P	7.741283901	P	7.94314765	P
Affymetrix:CompositeSequence:HG-U133A_2:36829_at	3.051128274	P	3.017723326	P	3.0232696	P	3.008098791	M	3.033996224	P	3.065568233	P
Affymetrix:CompositeSequence:HG-U133A_2:36830_at	8.489445703	P	8.482921831	P	8.625008941	P	8.379223077	P	8.42250315	P	8.571744712	P
Affymetrix:CompositeSequence:HG-U133A_2:36865_at	6.48647976	P	6.30329031	P	6.616589178	P	6.377928353	P	6.404924988	P	6.347384246	P
Affymetrix:CompositeSequence:HG-U133A_2:36888_at	4.493292892	P	4.457015633	P	4.420676945	P	4.243018273	P	4.348050923	P	4.417809255	P
Affymetrix:CompositeSequence:HG-U133A_2:36907_at	3.012462716	P	2.956007925	P	3.016906657	P	3.002720784	P	3.081417893	P	3.018537851	P
