row.ID	name	LB_crp	LB_crp_cysB	LB_crp_fruR	LB_crp_fur	LB_cysB	LB_fruR	LB_fur	LBG_crp	LBG_crp_cysB	LBG_crp_fruR	LBG_crp_fur	LBG_cysB	LBG_fruR	LBG_fur	LBG_wt	LB_wt
IG_2765_4464821_4468100_rev_at	IG_2765_4464821_4468100_rev_at	5.65161411782286	5.75169209525682	5.4554588834793	5.27401764119718	5.4943035543439	5.72996072282322	5.65978852783608	5.67534985364236	5.73263273098236	5.58108926240745	5.66718049515789	5.53189895163745	5.85811396198813	5.79882702271234	5.77332362648529	5.57116641036669
IG_2766_4467896_4470086_fwd_at	IG_2766_4467896_4470086_fwd_at	6.00831770356291	5.6129694118713	5.7795289926609	5.559775356593	5.84145101491855	6.13063254037497	5.47173176155358	6.06751549168843	5.49271426400882	5.61726766922727	5.53300576968585	5.50861577566965	5.94768250486948	5.5813104448376	6.03680938150316	5.4053851239563
IG_2767_4468527_4468559_rev_at	IG_2767_4468527_4468559_rev_at	4.85682021142666	5.06261932145742	5.28670443269708	5.00437916982786	4.49932848293355	4.62444368199106	4.24894428168551	4.94644763451592	5.09841333292977	5.47290207315766	4.77098233570991	5.25059457503612	5.19070595825953	5.05493514620568	4.82436487651571	4.71911798717999
IG_2768_4470420_4471800_fwd_at	IG_2768_4470420_4471800_fwd_at	4.80039375420198	4.91777474532831	4.90615147076078	4.46656093810108	4.70393945094221	4.88825437645483	4.73662863809144	4.92289748068201	4.93433085355167	4.63716452482103	4.58483144350483	4.72129489367593	4.87591351517412	4.8248255564167	5.07552910157196	4.4678946119767
IG_2769_4470784_4470913_rev_at	IG_2769_4470784_4470913_rev_at	4.94382926044203	5.42976902766321	4.98966688281444	4.94640106430996	4.88546466236673	4.96291941946998	4.74830085807886	4.65094806925762	4.7230246308352	4.55788279026462	4.84770570864057	4.65133737842994	4.66437008405504	4.70419542565334	4.96506165382761	4.44067301156835
IG_2770_4471628_4474869_rev_at	IG_2770_4471628_4474869_rev_at	4.17095285141662	4.55473224715873	4.20422233045334	4.21229277931135	4.16261344994152	4.28542766772776	4.14154683753351	4.05970040576321	3.9225379924624	3.86277386111148	3.91625470292525	4.03562267862654	4.06658333097424	4.08525102835743	4.21182947381686	4.06786596423825
IG_2771_4471966_4472036_fwd_at	IG_2771_4471966_4472036_fwd_at	6.50928472668333	6.41709740633309	6.48930792241178	6.40035289106879	6.42060714356856	6.67933476829917	6.44582277183336	6.983413689347	7.00105363939284	6.86638668359823	6.58580949321129	6.83933913458449	6.98038300690405	7.09444152914492	6.92599934415152	6.44554984049851
IG_2772_4472292_4472426_fwd_at	IG_2772_4472292_4472426_fwd_at	4.46661339520372	4.27903766800267	4.6910762935784	4.24714118578533	4.56245029519446	4.74510479191745	4.46859878272734	4.58556059221734	4.74460811653537	4.65476194140717	4.5003884215491	4.65712325622083	4.57142674659727	4.50964938589027	4.63787489394908	4.47678196236896
IG_2773_4472889_4472974_fwd_at	IG_2773_4472889_4472974_fwd_at	4.5307917525561	5.16110239903764	5.3949825083337	4.82501227752609	4.97743753008957	5.30758754033543	5.0076495034066	5.08745532955938	5.4018582920737	5.44923964971252	5.33089890779726	5.16786940139832	5.26948358899477	5.24613810353682	5.19347931937736	4.94454199673725
IG_277_431238_431535_rev_at	IG_277_431238_431535_rev_at	3.77935488577536	2.94974586561286	2.92718076234052	3.02531360858411	3.61327712726749	3.94059361835576	3.59856835103487	4.17393840010266	3.21486107756819	3.29810984075445	3.13605133488172	4.56472689210881	4.55280003555648	4.47072133349293	4.33148905260583	4.18104334346566
IG_2774_4474826_4476035_fwd_at	IG_2774_4474826_4476035_fwd_at	4.16417648509229	4.22461397029256	4.30938379525977	3.86337631777196	4.24424994123644	4.56751478505388	4.22124074843436	4.17303279255609	4.24663464900725	4.19119902020309	4.20181441719352	4.30942090203034	4.25331272977355	4.33719487938168	4.3917551160249	4.43319590211916
IG_2775_4475875_4476596_rev_at	IG_2775_4475875_4476596_rev_at	5.01956268703714	5.16124788795761	5.02820428830962	4.81266749155842	4.93243261107471	4.67304448303416	4.80217839763305	4.71474917127277	4.5686295432634	4.57591011715111	4.61071444106372	4.79242464526914	4.7373153964611	4.73840284106936	4.84337288117115	4.8541486546842
IG_2776_4476453_4477309_fwd_at	IG_2776_4476453_4477309_fwd_at	5.29064623116694	5.86222944300898	5.49187806149149	5.34068943970874	5.41322183841024	5.45063644460166	5.43396360308704	5.67986101676286	5.36894475694806	5.49327094004287	5.46578668017963	5.51308826681749	5.521794033794	5.58959434381309	5.6013383131696	5.28124729753575
IG_2777_4476891_4478549_rev_at	IG_2777_4476891_4478549_rev_at	5.51712336612199	5.56207092086784	5.50486834056461	5.36327206440873	5.67162310971844	5.5156873079992	5.34574384452427	5.62548282920955	5.50750626125896	5.48294679340783	5.3418506038424	5.58119097994462	5.58481387645574	5.48888537394808	5.88100651879329	5.4943817066959
IG_2778_4478492_4483785_fwd_at	IG_2778_4478492_4483785_fwd_at	5.58005639765177	6.32454877316955	5.74910726993636	5.5243193600257	5.70851865380314	5.6535308099015	5.49004971617798	5.78753182973841	5.61053011993353	5.47349780499502	5.55917404648582	5.61577792718014	5.77072616016577	5.55492829814027	5.83378977988963	5.68013640629698
IG_2779_4481849_4482007_rev_f_at	IG_2779_4481849_4482007_rev_f_at	6.02770061306034	6.06423322499485	6.26856518654611	5.72196655443259	6.03044364792646	5.92509524598235	6.03504920049293	6.03498818959881	6.13786182921888	6.16232112834382	5.86949051394499	6.23996073529859	6.0507169917599	5.9201104081712	6.05065057828452	6.31955440463922
IG_2780_4483520_4486128_rev_at	IG_2780_4483520_4486128_rev_at	4.21632257883619	4.9647782604811	4.76699098950267	4.78359093988989	4.37908740025737	4.03006380566131	4.38200371065391	4.44919854304969	4.68947397408132	4.78227166368774	4.45871406110227	4.75650238596857	4.25687646009747	4.15564953663856	4.30850885704297	4.55524847886548
IG_2781_4485969_4492190_fwd_at	IG_2781_4485969_4492190_fwd_at	3.87310543723629	4.21415675120863	3.80417774437493	3.81452576294884	3.93394817159429	3.92362648801764	3.71525842652178	4.03697539351815	3.81515511386504	3.70044545381283	3.78868872261012	3.80809824648568	4.37832024605544	4.03241709960362	4.04270077078224	3.73575134621942
IG_2782_4487632_4487708_rev_at	IG_2782_4487632_4487708_rev_at	5.69192105237198	5.96578323448434	5.78070619068397	5.61636281607642	5.68135669397308	5.44592379866373	5.48830408505715	5.41102583218406	5.21547883755151	5.2937471952056	5.17828452226153	5.3027489804477	5.21679299921354	5.12438485701927	5.16252423964378	5.80124349859821
IG_2783_4488708_4488773_rev_at	IG_2783_4488708_4488773_rev_at	6.35588651184839	6.15144282260754	5.80054050794506	5.59545089187595	5.85092103222181	6.52661389973684	5.8961002122064	6.09511417741678	6.17788175570103	5.9135966422217	6.10530296399563	5.73479218853485	6.35881434464214	6.24223993603678	6.34263476215758	5.91178914452848
IG_278_432136_436384_rev_at	IG_278_432136_436384_rev_at	6.03446199207766	6.34017468584812	6.16045833006716	6.09092713734346	6.32163465965965	6.10156674483548	6.15758618038408	5.8635029735854	5.57418598301377	5.55088658784758	5.69893024320612	5.75395809802189	5.81781589159024	5.91519836079572	5.97647732535898	6.18579695692919
IG_2784_4490094_4490154_rev_at	IG_2784_4490094_4490154_rev_at	3.46103107175131	3.48810630354928	3.40981376853326	3.14901088900807	3.16220391929612	3.871153444383	3.32813067248741	3.32050539772897	3.5531333825137	3.32398691357127	3.24792288797486	3.34967237441895	3.50383772546504	3.57836581744099	3.49339973804716	3.41727496224352
IG_2785_4491975_4492757_rev_at	IG_2785_4491975_4492757_rev_at	2.07906731937499	2.1354189174003	2.02833763717048	1.94232209239195	1.9561048622184	2.24171004950845	1.87026634486075	1.91668642528448	1.67036795554391	1.61119551116712	1.69777387871925	1.84159047122434	1.8255842135496	1.74347294813443	1.89608625158227	2.04861243446059
IG_2786_4492755_4493972_fwd_at	IG_2786_4492755_4493972_fwd_at	6.2637726511053	6.7714491610318	6.39328867243359	6.28096097612221	6.32987803994376	6.43040011837751	6.29444870330892	6.724258486881	6.51380877346785	6.45424444614419	6.53544955712093	6.60010366196095	6.78397509478294	7.09908211630597	6.61687295737227	6.38954092499959
IG_2787_4493820_4497610_rev_at	IG_2787_4493820_4497610_rev_at	4.63626223940474	4.35510866557457	4.25479677621047	4.63742699973822	4.44897912162871	4.3718088819324	4.32325950813106	4.27661237820383	4.01537226422642	3.90675174920745	3.90957682837925	4.12769691647006	4.03362880841742	3.98863299663322	4.3174207831477	4.19455632136011
IG_2788_4494058_4494317_fwd_at	IG_2788_4494058_4494317_fwd_at	5.18121359610456	5.69550664691996	5.60421544714596	5.44591167204683	5.29957628255522	5.27469938312789	5.14114466491371	5.71474141190498	6.00239152010985	5.77841179800286	5.46662179584355	5.61139146685835	6.02075845025629	5.96141932192258	6.05885253664018	5.14713352772929
